SalePrice,LotFrontage,LandSlope,HouseStyle,OverallQual,OverallCond,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,TotRmsAbvGrd,GarageCars,GarageArea,GarageCond,PavedDrive,OpenPorchSF,MoSold,YrSold,SaleType
309000,108,Gtl,2Story,8,5,PConc,Ex,1117,Ex,Y,1132,1320,0,2452,0,9,3,691,TA,Y,32,9,2006,WD
145000,112,Gtl,1Story,5,5,PConc,Gd,1097,Ex,Y,1097,0,0,1097,0,6,2,672,TA,Y,64,6,2009,WD
153000,74,Gtl,1Story,5,6,CBlock,TA,1297,Gd,Y,1297,0,0,1297,0,5,2,498,TA,Y,0,10,2009,WD
109000,68,Gtl,1Story,5,7,CBlock,TA,1057,TA,Y,1057,0,0,1057,1,5,1,246,TA,Y,52,1,2010,WD
82000,65,Gtl,1Story,4,5,PConc,NA,0,TA,N,1152,0,0,1152,0,6,0,0,NA,N,0,6,2008,WD
160000,84,Gtl,1Story,6,5,CBlock,TA,1088,Ex,Y,1324,0,0,1324,0,6,2,440,TA,Y,138,12,2006,WD
170000,115,Gtl,1Story,5,6,CBlock,TA,1350,Gd,Y,1328,0,0,1328,0,5,1,308,TA,P,104,7,2007,WD
144000,NA,Gtl,SFoyer,5,7,CBlock,Gd,840,Gd,Y,884,0,0,884,1,5,2,504,Gd,Y,0,12,2007,WD
130250,NA,Gtl,1Story,5,6,CBlock,Gd,938,TA,Y,938,0,0,938,1,5,1,308,TA,Y,0,7,2008,WD
141000,70,Gtl,1Story,5,6,CBlock,TA,1150,Ex,Y,1150,0,0,1150,1,6,1,300,TA,Y,0,5,2006,WD
319900,61,Gtl,1Story,9,5,PConc,Ex,1752,Ex,Y,1752,0,0,1752,1,6,2,576,TA,Y,82,2,2010,WD
239686,48,Gtl,1.5Fin,7,5,PConc,Ex,1434,Ex,Y,1518,631,0,2149,1,6,2,670,TA,Y,43,8,2009,WD
249700,84,Gtl,1Story,8,5,PConc,Gd,1656,Ex,Y,1656,0,0,1656,0,7,3,826,TA,Y,146,7,2007,WD
113000,33,Gtl,2Story,4,5,BrkTil,TA,736,Gd,Y,736,716,0,1452,0,8,0,0,NA,N,0,6,2009,New
127000,66,Gtl,1Story,5,7,CBlock,TA,955,Ex,Y,955,0,0,955,1,6,1,386,TA,Y,0,1,2007,WD
177000,NA,Gtl,2Story,6,6,PConc,Gd,794,Gd,Y,794,676,0,1470,0,6,2,388,TA,Y,75,7,2007,WD
114500,52,Gtl,1.5Fin,6,6,PConc,TA,816,TA,Y,816,0,360,1176,0,6,2,528,TA,Y,0,9,2006,WD
110000,110,Mod,1Story,5,5,CBlock,Gd,816,TA,N,816,0,0,816,1,5,2,516,TA,Y,0,5,2010,WD
385000,68,Gtl,1Story,9,5,CBlock,Ex,1842,Gd,Y,1842,0,0,1842,2,5,3,894,TA,Y,72,11,2006,WD
130000,60,Mod,SLvl,5,5,CBlock,TA,384,TA,Y,1360,0,0,1360,0,6,2,572,TA,Y,50,2,2007,WD
180500,100,Gtl,1Story,6,5,CBlock,TA,1425,Gd,Y,1425,0,0,1425,0,7,2,576,TA,Y,0,7,2008,WD
172500,24,Gtl,2Story,8,5,PConc,Gd,970,Ex,Y,983,756,0,1739,1,7,2,480,TA,Y,0,8,2009,WD
196500,89,Gtl,2Story,7,5,PConc,Gd,860,Ex,Y,860,860,0,1720,0,7,2,565,TA,Y,70,8,2006,WD
438780,66,Gtl,2Story,10,5,PConc,Ex,1410,Ex,Y,1426,1519,0,2945,0,10,3,641,TA,Y,0,10,2006,New
124900,60,Gtl,1Story,5,7,CBlock,TA,780,Ex,Y,780,0,0,780,0,4,1,352,TA,Y,0,1,2008,WD
158000,63,Gtl,1Story,6,5,PConc,Gd,1158,Ex,Y,1158,0,0,1158,1,5,2,576,TA,Y,50,5,2006,New
101000,60,Gtl,2.5Unf,5,7,BrkTil,TA,530,TA,N,581,530,0,1111,0,6,1,288,TA,N,0,3,2007,WD
202500,44,Gtl,1Story,8,5,PConc,Gd,1370,Ex,Y,1370,0,0,1370,0,6,2,484,TA,Y,49,10,2007,WD
140000,50,Gtl,2Story,7,6,BrkTil,TA,576,Gd,Y,902,808,0,1710,0,9,2,480,TA,Y,11,4,2010,WD
219500,NA,Gtl,2Story,7,5,PConc,Gd,1057,Ex,Y,1057,977,0,2034,1,8,2,645,TA,Y,36,2,2009,WD
317000,76,Gtl,2Story,8,5,PConc,Ex,1143,Ex,Y,1143,1330,0,2473,0,9,3,852,TA,Y,151,10,2007,WD
180000,NA,Gtl,1Story,7,5,CBlock,Gd,1947,TA,Y,2207,0,0,2207,1,7,2,576,TA,Y,0,7,2010,WD
226000,72,Gtl,1Story,7,5,PConc,Gd,1453,Ex,Y,1479,0,0,1479,1,7,2,558,TA,Y,29,6,2007,WD
80000,47,Gtl,1Story,4,6,CBlock,TA,747,TA,Y,747,0,0,747,0,4,1,220,TA,Y,0,6,2010,WD
225000,81,Gtl,1.5Fin,7,4,CBlock,TA,1304,TA,Y,1304,983,0,2287,0,7,2,667,TA,Y,21,7,2006,WD
244000,95,Gtl,1Story,7,6,CBlock,Gd,2223,Ex,Y,2223,0,0,2223,1,8,2,516,TA,Y,0,2,2007,WD
129500,69,Gtl,1Story,4,6,CBlock,TA,845,TA,Y,845,0,0,845,1,4,2,360,TA,Y,0,6,2007,WD
185000,74,Gtl,2Story,7,5,PConc,Gd,832,Gd,Y,885,833,0,1718,0,7,2,427,TA,Y,94,12,2009,WD
144900,85,Gtl,1Story,5,7,CBlock,TA,1086,Gd,Y,1086,0,0,1086,1,6,2,490,TA,Y,0,5,2010,WD
107400,60,Gtl,2Story,3,6,CBlock,Fa,840,Gd,N,840,765,0,1605,0,8,1,379,TA,Y,0,5,2010,WD
91000,21,Gtl,SLvl,4,5,CBlock,Gd,462,TA,Y,526,462,0,988,1,5,1,297,TA,Y,101,11,2009,WD
135750,NA,Gtl,1Story,4,7,CBlock,TA,952,Ex,Y,952,0,0,952,0,4,1,283,TA,Y,0,4,2008,WD
127000,50,Gtl,1.5Fin,5,5,CBlock,TA,672,TA,Y,1072,213,0,1285,1,6,1,240,TA,Y,0,1,2008,WD
136500,72,Gtl,1Story,4,5,CBlock,TA,1768,TA,N,1768,0,0,1768,0,8,0,0,NA,Y,0,4,2010,WD
110000,60,Gtl,2Story,5,6,PConc,TA,440,Gd,Y,682,548,0,1230,0,5,2,440,TA,Y,0,5,2009,WD
193500,100,Gtl,2Story,6,6,CBlock,Gd,896,TA,Y,1182,960,0,2142,0,8,1,509,TA,Y,72,6,2009,WD
153500,32,Gtl,1Story,6,5,PConc,Ex,1237,Ex,Y,1337,0,0,1337,1,5,2,405,TA,Y,199,3,2006,WD
245000,78,Gtl,1Story,8,5,PConc,Gd,1563,Ex,Y,1563,0,0,1563,0,6,3,758,TA,Y,99,10,2008,WD
126500,80,Gtl,1Story,5,5,CBlock,TA,1065,Gd,Y,1065,0,0,1065,0,6,2,461,TA,Y,0,7,2007,COD
168500,NA,Gtl,SLvl,7,5,PConc,Gd,384,Gd,Y,804,670,0,1474,0,7,2,400,TA,Y,72,5,2009,WD
260000,121,Gtl,2Story,8,5,CBlock,Gd,1288,Ex,Y,1301,1116,0,2417,0,9,2,462,TA,Y,82,4,2006,WD
174000,122,Gtl,2Story,6,5,PConc,Gd,684,Ex,Y,684,876,0,1560,0,6,2,400,TA,Y,38,3,2009,WD
164500,40,Gtl,2Story,6,5,PConc,Gd,612,Ex,Y,612,612,0,1224,0,4,2,528,TA,Y,234,6,2009,New
85000,105,Gtl,1.5Fin,3,2,CBlock,TA,1013,TA,N,1013,0,513,1526,0,6,0,0,NA,N,0,10,2009,ConLD
123600,60,Gtl,1Story,4,5,PConc,Gd,990,Ex,Y,990,0,0,990,1,5,0,0,NA,Y,0,8,2007,WD
109900,60,Gtl,1Story,4,5,Slab,NA,0,TA,Y,1040,0,0,1040,0,4,2,420,TA,Y,29,7,2006,WD
98600,85,Gtl,1Story,5,3,CBlock,TA,1235,TA,Y,1235,0,0,1235,0,6,2,480,TA,Y,0,12,2006,WD
163500,80,Gtl,1Story,5,7,BrkTil,Gd,876,Ex,Y,964,0,0,964,1,5,2,432,TA,Y,0,8,2009,WD
133900,60,Gtl,2.5Unf,6,6,BrkTil,TA,1214,Ex,N,1260,1031,0,2291,0,9,2,506,TA,Y,0,11,2007,WD
204750,69,Gtl,2Story,6,5,PConc,Gd,824,Ex,Y,905,881,0,1786,1,7,2,684,TA,Y,162,5,2007,WD
185000,NA,Gtl,2Story,6,8,PConc,Gd,680,Gd,Y,680,790,0,1470,0,6,2,420,TA,Y,63,4,2009,WD
214000,78,Gtl,1Story,7,5,PConc,Gd,1588,Ex,Y,1588,0,0,1588,0,6,2,472,TA,Y,29,8,2006,WD
94750,73,Gtl,1Story,4,5,CBlock,TA,960,TA,Y,960,0,0,960,1,6,1,432,TA,P,0,5,2007,WD
83000,85,Gtl,1Story,5,5,BrkTil,TA,458,Fa,N,835,0,0,835,0,5,1,366,TA,Y,0,5,2010,COD
128950,77,Gtl,1Story,4,5,CBlock,TA,950,Fa,Y,1225,0,0,1225,1,6,0,0,NA,Y,0,1,2010,WD
205000,NA,Gtl,1Story,6,7,PConc,TA,1610,Gd,Y,1610,0,0,1610,1,6,2,480,TA,Y,68,2,2010,WD
178000,77,Gtl,2Story,6,5,CBlock,Gd,741,TA,Y,977,755,0,1732,0,7,2,476,TA,Y,46,6,2010,WD
118964,64,Gtl,1Story,5,5,Slab,NA,0,TA,Y,1535,0,0,1535,0,8,2,410,TA,Y,0,6,2009,WD
198900,94,Gtl,1Story,7,5,PConc,Gd,1226,Ex,Y,1226,0,0,1226,0,6,3,740,TA,Y,36,5,2010,WD
169500,NA,Gtl,1.5Fin,7,4,PConc,TA,1040,Ex,Y,1226,592,0,1818,0,7,1,240,TA,Y,0,6,2007,WD
250000,75,Gtl,2Story,8,5,PConc,Ex,1053,Ex,Y,1053,939,0,1992,0,9,2,648,TA,Y,45,8,2008,WD
100000,60,Gtl,1Story,4,7,BrkTil,Fa,641,Gd,Y,1047,0,0,1047,0,6,1,273,Fa,N,0,8,2007,WD
115000,50,Gtl,1Story,5,5,CBlock,TA,789,Ex,Y,789,0,0,789,0,5,1,250,TA,Y,0,4,2008,WD
115000,85,Gtl,1.5Fin,5,7,CBlock,TA,793,TA,N,997,520,0,1517,0,7,0,0,NA,N,0,8,2007,WD
190000,105,Gtl,1Story,6,6,CBlock,Gd,1844,Ex,Y,1844,0,0,1844,0,7,2,546,TA,Y,122,1,2010,COD
136900,75,Gtl,1.5Fin,6,4,CBlock,TA,994,Gd,Y,1216,639,0,1855,0,7,1,325,TA,Y,0,10,2006,WD
180000,NA,Gtl,SLvl,7,5,PConc,Gd,384,Ex,Y,774,656,0,1430,0,7,2,400,TA,Y,0,4,2010,WD
383970,77,Gtl,2Story,7,5,PConc,Ex,1264,Ex,Y,1282,1414,0,2696,1,10,3,792,TA,Y,184,10,2007,New
217000,NA,Gtl,1Story,6,5,CBlock,Gd,1809,TA,Y,2259,0,0,2259,1,7,2,450,TA,Y,120,10,2007,COD
259500,61,Mod,2Story,6,8,CBlock,TA,1028,Ex,Y,1436,884,0,2320,1,9,1,180,TA,Y,0,7,2007,WD
176000,34,Gtl,2Story,6,5,PConc,Gd,729,Gd,Y,729,729,0,1458,0,5,2,440,TA,Y,32,6,2007,WD
139000,NA,Gtl,1Story,5,5,CBlock,TA,1092,TA,Y,1092,0,0,1092,0,6,1,288,TA,Y,20,9,2009,WD
155000,74,Gtl,1Story,5,5,PConc,Gd,1125,Gd,Y,1125,0,0,1125,0,5,2,430,TA,Y,64,4,2007,New
320000,90,Gtl,2Story,7,5,PConc,Gd,1673,Gd,Y,1699,1523,0,3222,1,11,3,594,TA,Y,0,5,2010,WD
163990,65,Gtl,2Story,6,5,PConc,Gd,728,Ex,Y,728,728,0,1456,0,8,2,390,TA,Y,24,7,2006,New
180000,NA,Sev,SLvl,6,5,CBlock,TA,938,Ex,Y,988,0,0,988,1,4,2,540,TA,Y,130,10,2006,WD
100000,50,Gtl,1.5Fin,4,5,PConc,TA,732,Gd,Y,772,351,0,1123,0,4,1,264,TA,P,0,6,2007,WD
136000,75,Gtl,1Story,6,7,CBlock,TA,1080,Gd,Y,1080,0,0,1080,0,5,1,288,TA,Y,0,6,2008,WD
153900,55,Gtl,1Story,6,5,PConc,Gd,1199,Ex,Y,1199,0,0,1199,0,5,2,530,TA,Y,63,3,2008,WD
181000,48,Gtl,1Story,6,5,CBlock,Gd,1362,TA,Y,1586,0,0,1586,0,7,2,435,TA,Y,0,1,2009,WD
84500,60,Gtl,1.5Fin,6,8,CBlock,TA,520,Gd,N,520,0,234,754,1,5,0,0,NA,N,0,6,2006,WD
128000,NA,Gtl,1Story,6,5,CBlock,Gd,1078,TA,Y,958,0,0,958,0,5,2,440,TA,Y,205,2,2007,WD
87000,55,Gtl,1.5Unf,5,7,BrkTil,TA,672,Ex,Y,840,0,0,840,0,5,0,0,NA,N,0,6,2007,WD
155000,69,Gtl,2Story,6,5,CBlock,TA,660,TA,Y,660,688,0,1348,0,6,2,453,TA,Y,108,7,2006,WD
150000,69,Gtl,1Story,5,7,CBlock,TA,1008,TA,Y,1053,0,0,1053,0,6,2,750,TA,Y,80,7,2006,WD
226000,88,Gtl,2Story,7,6,CBlock,TA,924,Ex,Y,1216,941,0,2157,0,8,2,487,TA,Y,66,5,2006,WD
244000,NA,Gtl,2Story,6,5,PConc,Gd,992,Ex,Y,1022,1032,0,2054,1,7,2,390,TA,Y,48,7,2009,WD
150750,75,Gtl,1Story,5,6,CBlock,TA,1063,Gd,Y,1327,0,0,1327,1,7,2,624,TA,Y,0,7,2007,WD
220000,NA,Gtl,1Story,8,5,PConc,Ex,1267,Ex,Y,1296,0,0,1296,1,6,2,471,TA,Y,25,6,2009,WD
180000,78,Gtl,1Story,5,6,CBlock,TA,1461,Gd,Y,1721,0,0,1721,0,7,2,440,TA,Y,96,7,2006,WD
174000,80,Gtl,1Story,7,6,PConc,TA,1304,Gd,Y,1682,0,0,1682,0,7,2,530,TA,Y,0,5,2008,WD
143000,NA,Gtl,1Story,5,5,CBlock,TA,1214,TA,Y,1214,0,0,1214,0,5,1,318,TA,Y,111,7,2007,WD
171000,82,Gtl,1Story,7,5,CBlock,TA,1907,Gd,Y,1959,0,0,1959,0,9,3,766,TA,Y,0,7,2006,WD
230000,73,Gtl,2Story,8,5,PConc,Gd,1004,Ex,Y,1004,848,0,1852,0,7,3,660,TA,Y,106,12,2008,WD
231500,65,Gtl,2Story,6,5,PConc,Gd,928,Ex,Y,928,836,0,1764,1,7,2,470,TA,Y,99,8,2009,WD
115000,70,Gtl,1Story,4,5,CBlock,TA,864,TA,Y,864,0,0,864,0,5,0,0,NA,Y,0,4,2010,ConLI
260000,78,Gtl,1Story,7,5,PConc,Gd,1734,Ex,Y,1734,0,0,1734,1,7,2,660,TA,Y,24,1,2006,WD
166000,71,Gtl,1.5Fin,5,4,CBlock,TA,910,Fa,Y,910,475,0,1385,0,6,2,720,TA,Y,0,6,2010,WD
204000,78,Gtl,1Story,7,5,PConc,Gd,1490,Ex,Y,1501,0,0,1501,1,6,2,577,TA,Y,29,6,2009,WD
125000,70,Gtl,1Story,5,5,CBlock,TA,1728,TA,Y,1728,0,0,1728,1,10,2,504,TA,Y,0,11,2006,ConLI
130000,24,Gtl,2Story,6,5,PConc,Gd,970,Ex,Y,970,739,0,1709,0,7,2,380,TA,Y,40,4,2006,WD
105000,51,Gtl,1Story,5,7,BrkTil,TA,715,TA,Y,875,0,0,875,1,5,1,180,TA,Y,0,11,2009,WD
222500,NA,Gtl,2Story,7,5,PConc,Gd,884,Ex,Y,884,1151,0,2035,0,8,2,434,TA,Y,48,5,2010,WD
141000,63,Gtl,1Story,7,5,PConc,Gd,1080,Ex,Y,1080,0,0,1080,1,6,0,0,NA,Y,0,4,2008,WD
115000,NA,Gtl,1.5Fin,5,4,BrkTil,Gd,896,Gd,Y,896,448,0,1344,0,7,1,240,TA,Y,114,4,2006,WD
122000,120,Gtl,1Story,5,6,CBlock,TA,969,TA,Y,969,0,0,969,0,5,2,440,TA,Y,0,1,2007,WD
372402,107,Gtl,1Story,8,5,PConc,Ex,1710,Ex,Y,1710,0,0,1710,1,6,3,866,TA,Y,102,1,2008,New
190000,NA,Gtl,2Story,6,5,CBlock,TA,825,Gd,Y,1097,896,0,1993,0,8,2,495,TA,Y,66,6,2006,WD
235000,NA,Gtl,1Story,6,7,CBlock,Gd,1602,Gd,Y,1252,0,0,1252,1,4,2,564,TA,Y,0,3,2008,WD
125000,84,Gtl,1Story,6,5,BrkTil,TA,1200,TA,Y,1200,0,0,1200,0,7,1,312,Fa,Y,0,3,2006,WD
79000,60,Gtl,1.5Fin,6,5,BrkTil,TA,572,Fa,N,572,524,0,1096,0,5,0,0,NA,N,8,4,2008,WD
109500,60,Gtl,1Story,5,7,CBlock,NA,0,TA,Y,1040,0,0,1040,0,5,2,625,TA,Y,0,6,2006,WD
269500,92,Gtl,2Story,8,5,PConc,Ex,774,Ex,Y,774,1194,0,1968,0,8,3,680,TA,Y,75,5,2010,New
254900,100,Gtl,2Story,7,5,PConc,Gd,991,Ex,Y,991,956,0,1947,0,8,2,678,TA,Y,136,5,2010,WD
320000,134,Gtl,2Story,7,5,PConc,Gd,1392,Ex,Y,1392,1070,0,2462,1,9,2,576,TA,Y,132,3,2006,New
162500,NA,Gtl,1Story,6,6,PConc,Gd,1232,TA,Y,1232,0,0,1232,0,6,2,516,TA,Y,0,6,2008,WD
412500,110,Gtl,2Story,9,5,PConc,Ex,1572,Ex,Y,1572,1096,0,2668,1,10,3,726,TA,Y,0,3,2008,WD
220000,95,Gtl,1Story,7,5,PConc,Gd,1541,Ex,Y,1541,0,0,1541,0,7,2,532,TA,Y,70,5,2010,New
103200,55,Gtl,1.5Unf,4,6,CBlock,TA,882,Ex,Y,882,0,0,882,0,4,0,0,NA,Y,0,4,2007,WD
152000,40,Gtl,1Story,6,7,BrkTil,TA,1149,Gd,Y,1149,467,0,1616,0,5,1,216,TA,Y,0,10,2007,WD
127500,62,Gtl,1.5Fin,5,7,BrkTil,TA,644,Gd,Y,808,547,0,1355,1,6,0,0,NA,Y,0,9,2008,WD
190000,NA,Gtl,1Story,5,5,CBlock,TA,1617,Ex,Y,1867,0,0,1867,1,7,1,303,TA,Y,0,11,2009,COD
325624,86,Gtl,2Story,8,5,PConc,Ex,1582,Ex,Y,1610,551,0,2161,1,8,3,789,TA,Y,120,11,2007,New
183500,62,Gtl,2Story,7,5,PConc,Gd,840,Ex,Y,840,880,0,1720,0,7,2,440,TA,Y,48,5,2007,WD
228000,NA,Gtl,1Story,8,6,CBlock,Gd,1686,TA,Y,1707,0,0,1707,0,6,2,511,TA,Y,64,1,2006,WD
128500,NA,Gtl,1.5Fin,5,6,CBlock,TA,720,TA,Y,854,0,528,1382,0,7,2,660,TA,Y,0,5,2007,WD
215000,141,Gtl,1Story,6,5,CBlock,TA,1080,Fa,Y,1656,0,0,1656,1,7,2,528,TA,P,62,5,2010,WD
239000,44,Gtl,2Story,7,7,PConc,Gd,1064,Gd,Y,1064,703,0,1767,1,5,2,504,TA,Y,35,6,2006,WD
163000,80,Gtl,1Story,6,5,CBlock,TA,1362,TA,Y,1362,0,0,1362,1,6,2,504,TA,Y,20,6,2008,COD
184000,47,Gtl,1Story,6,5,CBlock,Gd,1606,TA,Y,1651,0,0,1651,1,7,2,616,TA,Y,0,11,2008,WD
243000,84,Gtl,1Story,6,7,CBlock,TA,1202,TA,Y,2158,0,0,2158,1,7,2,576,TA,Y,29,6,2007,WD
211000,97,Gtl,2Story,6,5,PConc,Gd,1151,TA,Y,1164,896,0,2060,0,8,2,521,TA,Y,228,9,2007,WD
172500,NA,Gtl,1.5Fin,5,5,CBlock,TA,1052,Ex,Y,1252,668,0,1920,1,8,2,451,TA,Y,0,7,2006,WD
501837,63,Gtl,1Story,9,5,PConc,Ex,2216,Ex,Y,2234,0,0,2234,1,9,3,1166,TA,Y,60,7,2009,New
100000,60,Gtl,1Story,5,6,CBlock,TA,968,TA,Y,968,0,0,968,0,5,2,480,TA,N,0,7,2007,WD
177000,NA,Gtl,2Story,6,5,PConc,Gd,756,Ex,Y,769,756,0,1525,0,5,2,440,TA,Y,0,6,2007,WD
200100,54,Gtl,2Story,7,6,BrkTil,Fa,793,Gd,Y,901,901,0,1802,0,9,1,216,TA,Y,0,7,2006,WD
120000,60,Gtl,1Story,5,6,PConc,NA,0,Ex,Y,1340,0,0,1340,0,7,1,252,TA,Y,0,6,2007,WD
200000,63,Gtl,1.5Fin,7,5,PConc,Gd,1362,Ex,Y,1362,720,0,2082,0,6,2,484,TA,N,238,6,2008,WD
127000,92,Gtl,1.5Fin,5,8,PConc,Fa,504,Gd,Y,936,316,0,1252,0,5,2,576,TA,Y,0,6,2006,WD
475000,90,Gtl,2.5Fin,10,9,BrkTil,TA,1107,Ex,Y,1518,1518,572,3608,0,12,3,840,TA,Y,260,6,2006,WD
173000,NA,Gtl,SLvl,7,5,PConc,Gd,1188,Ex,Y,1217,0,0,1217,1,6,2,497,TA,Y,27,6,2009,WD
135000,60,Gtl,1.5Fin,5,7,CBlock,Fa,660,Ex,Y,808,704,144,1656,0,8,1,180,Fa,N,0,8,2009,WD
153337,64,Gtl,SFoyer,5,5,CBlock,Gd,1086,TA,Y,1224,0,0,1224,2,6,2,528,TA,Y,0,6,2009,WD
286000,41,Gtl,1Story,8,5,PConc,Ex,1593,Ex,Y,1593,0,0,1593,1,5,2,682,TA,Y,120,8,2008,WD
315000,70,Mod,2Story,8,8,CBlock,Gd,853,TA,Y,1549,1178,0,2727,0,10,2,440,TA,Y,74,12,2007,WD
184000,NA,Gtl,2Story,7,9,CBlock,TA,725,Gd,Y,725,754,0,1479,1,7,2,484,TA,Y,32,6,2007,WD
192000,68,Gtl,1Story,7,5,PConc,Gd,1431,Ex,Y,1431,0,0,1431,1,6,2,666,TA,Y,35,9,2009,WD
130000,24,Gtl,2Story,7,5,PConc,Gd,970,Ex,Y,970,739,0,1709,0,7,2,380,TA,Y,40,5,2006,WD
127000,60,Gtl,1Story,5,7,CBlock,TA,864,TA,Y,864,0,0,864,0,5,1,352,TA,Y,0,5,2008,WD
148500,24,Gtl,2Story,6,6,CBlock,Gd,855,TA,Y,855,601,0,1456,0,7,2,440,TA,Y,0,7,2009,WD
